flickr_id,height,width,framerate,mos
Animation_720P-1a6d,720,1280,30,4.283
Animation_720P-2525,720,1280,30,3.73
Animation_720P-2abf,720,1280,30,3.615
Animation_720P-3adc,720,1280,30,3.575
Animation_720P-412a,720,1280,30,4.249
Animation_720P-41cf,720,1280,30,3.862
Animation_720P-41d6,720,960,30,4.148
Animation_720P-4268,720,1280,30,3.846
Animation_720P-431c,720,1280,30,4.396
Animation_720P-57d9,720,1280,30,3.522
Animation_720P-620f,720,1280,30,4.522
Animation_720P-6372,720,1280,30,4.422
Animation_720P-79ee,720,1280,30,2.197
Animation_720P-7b29,720,1280,30,3.862
Animation_720P-7e7d,720,1280,30,3.589
Animation_720P-7ff2,720,1280,30,4.124
CoverSong_1080P-0188,1080,1920,30,2.383
CoverSong_1080P-033d,1080,1920,30,4.433
CoverSong_1080P-0a86,1080,1920,30,4.228
CoverSong_1080P-0cdc,1080,1920,30,2.741
CoverSong_1080P-0f33,1080,1920,30,3.221
CoverSong_1080P-0f3a,1080,1440,30,4.358
CoverSong_1080P-1963,1080,1920,30,3.882
CoverSong_1080P-1b08,1080,1920,30,3.812
CoverSong_1080P-1b0c,1080,1920,30,3.763
CoverSong_1080P-2207,1080,1440,30,3.675
CoverSong_1080P-237f,1080,1920,30,3.893
CoverSong_1080P-3409,1080,1920,30,4.331
CoverSong_1080P-3499,1080,1920,30,4.193
CoverSong_1080P-3aac,1080,1920,30,3.381
CoverSong_1080P-3df8,1080,1920,30,3.827
CoverSong_1080P-4bad,1080,1920,30,4.298
CoverSong_1080P-5430,1080,1920,30,3.969
CoverSong_1080P-5456,1080,1920,30,3.736
CoverSong_1080P-5cae,1080,1920,30,3.209
CoverSong_1080P-5e69,1080,1920,30,3.29
CoverSong_1080P-5f92,1080,1920,30,4.043
CoverSong_1080P-6f26,1080,1440,30,4.288
CoverSong_360P-0a9d,360,640,30,2.538
CoverSong_360P-0aa2,360,640,30,2.511
CoverSong_360P-11f9,360,640,30,2.79
CoverSong_360P-13d2,360,640,30,2.578
CoverSong_360P-14b9,360,640,30,2.633
CoverSong_360P-1b2b,360,640,30,3.409
CoverSong_360P-2b4d,360,480,30,2.796
CoverSong_360P-3218,360,640,30,2.427
CoverSong_360P-4add,360,640,30,2.855
CoverSong_360P-53a6,360,640,30,3.235
CoverSong_360P-59d1,360,640,30,2.828
CoverSong_360P-5a24,360,640,30,2.789
CoverSong_360P-5d20,360,480,30,2.943
CoverSong_360P-67ec,360,640,30,2.404
CoverSong_360P-6d6a,360,640,30,3.273
CoverSong_360P-6da7,360,640,30,2.763
CoverSong_480P-0170,480,640,30,3.118
CoverSong_480P-1019,480,640,30,3.815
CoverSong_480P-1109,480,640,30,2.826
CoverSong_480P-2142,480,854,30,3.25
CoverSong_480P-2207,480,640,30,2.934
CoverSong_480P-2d2c,480,640,30,3.837
CoverSong_480P-3076,480,640,30,1.71
CoverSong_480P-35e1,480,640,30,3.608
CoverSong_480P-3e4b,480,640,30,2.877
CoverSong_480P-3e92,480,640,30,4.235
CoverSong_480P-3f3b,480,640,30,3.027
CoverSong_480P-4d34,480,640,30,2.677
CoverSong_480P-53f4,480,640,30,3.169
CoverSong_480P-59f2,480,720,30,3.418
CoverSong_480P-5b62,480,640,30,3.056
CoverSong_480P-60a6,480,640,30,2.369
CoverSong_480P-64d0,480,640,30,3.917
CoverSong_480P-6c3e,480,720,30,2.502
CoverSong_480P-6c50,480,640,30,2.729
CoverSong_480P-7f6d,480,854,30,3.048
CoverSong_720P-014c,720,1280,30,2.618
CoverSong_720P-0239,720,1280,30,2.52
CoverSong_720P-10f1,720,1280,30,2.805
CoverSong_720P-2d05,720,1280,30,3.224
CoverSong_720P-4006,720,1280,30,3.414
CoverSong_720P-449f,720,1280,30,3.496
CoverSong_720P-5689,720,960,30,2.317
CoverSong_720P-5ba2,720,1280,30,2.834
CoverSong_720P-60d3,720,1280,30,2.991
CoverSong_720P-6626,720,1280,30,3.316
CoverSong_720P-6b8c,720,1280,30,2.988
CoverSong_720P-6d6a,720,1280,30,3.52
CoverSong_720P-6d81,720,1280,30,3.145
CoverSong_720P-7360,720,1280,30,2.798
CoverSong_720P-7539,720,1280,30,2.348
Gaming_1080P-0ce6,1080,1920,30,3.968
Gaming_1080P-0ef8,1080,1920,30,3.781
Gaming_1080P-12d4,1080,1920,30,4.494
Gaming_1080P-13e3,1080,1920,30,4.434
Gaming_1080P-1704,1080,1920,30,4.295
Gaming_1080P-173a,1080,1920,30,3.013
Gaming_1080P-190d,1080,1920,30,3.898
Gaming_1080P-2221,1080,1920,30,4.239
Gaming_1080P-223e,1080,1920,30,4.283
Gaming_1080P-26dc,1080,1920,30,3.541
Gaming_1080P-277c,1080,1920,30,3.884
Gaming_1080P-29b1,1080,1920,30,3.829
Gaming_1080P-2e97,1080,1920,30,4.391
Gaming_1080P-35fa,1080,1920,30,3.035
Gaming_1080P-3a9d,1080,1920,30,3.872
Gaming_1080P-3d58,1080,1920,30,3.782
Gaming_1080P-44c4,1080,1920,30,3.839
Gaming_1080P-45af,1080,1920,30,4.373
Gaming_1080P-45fc,1080,1920,30,3.695
Gaming_1080P-4865,1080,1920,30,4.355
Gaming_1080P-51fc,1080,1920,30,4.377
Gaming_1080P-564e,1080,1920,30,4.322
Gaming_1080P-57ca,1080,1920,30,4.409
Gaming_1080P-58ba,1080,1440,30,3.952
Gaming_1080P-6530,1080,1920,30,3.92
Gaming_1080P-6578,1080,1920,30,4.399
Gaming_1080P-66d2,1080,1920,30,4.142
Gaming_1080P-698a,1080,1920,30,3.743
Gaming_1080P-6d53,1080,1920,30,3.821
Gaming_1080P-6db2,1080,1920,30,3.475
Gaming_1080P-6dc6,1080,1920,30,4.602
Gaming_1080P-6e45,1080,1920,30,2.517
Gaming_1080P-71a5,1080,1920,30,4.482
Gaming_1080P-72c8,1080,1920,30,4.366
Gaming_1080P-777b,1080,1920,30,4.05
Gaming_1080P-7a1e,1080,1920,30,4.024
Gaming_2160P-2b92,2160,4096,30,3.632
Gaming_2160P-2cb1,2160,3840,30,4.481
Gaming_2160P-2dc4,2160,3840,30,4.383
Gaming_2160P-3002,2160,3840,30,4.337
Gaming_2160P-348d,2160,3840,30,4.443
Gaming_2160P-34a1,2160,3840,30,4.414
Gaming_2160P-387f,2160,3840,30,4.513
Gaming_2160P-4139,2160,3840,30,3.923
Gaming_2160P-416f,2160,3840,30,4.332
Gaming_2160P-4258,2160,3840,30,4.067
Gaming_2160P-5c33,2160,3840,30,2.834
Gaming_2160P-5c53,2160,3840,30,4.309
Gaming_2160P-673d,2160,3840,30,4.165
Gaming_2160P-6bb6,2160,3840,30,4.537
Gaming_2160P-6cd8,2160,3840,30,4.31
Gaming_2160P-7e80,2160,3840,30,4.108
Gaming_360P-0b98,360,640,30,3.14
Gaming_360P-187a,360,640,30,3.133
Gaming_360P-2164,360,640,30,3.245
Gaming_360P-2330,360,640,30,2.607
Gaming_360P-2f99,360,640,30,3.281
Gaming_360P-3794,360,640,30,1.475
Gaming_360P-3eb6,360,640,30,3.184
Gaming_360P-4f09,360,640,30,3.506
Gaming_360P-56fe,360,640,30,2.439
Gaming_360P-586d,360,640,30,3.026
Gaming_360P-5e0f,360,464,30,3.012
Gaming_360P-6207,360,640,30,3.349
Gaming_360P-63e6,360,640,30,2.636
Gaming_360P-73c7,360,640,30,3.247
Gaming_360P-7975,360,640,30,2.761
Gaming_360P-7acb,360,640,30,3.059
Gaming_480P-0109,480,640,30,2.436
Gaming_480P-09ab,480,848,30,3.795
Gaming_480P-0a03,480,720,30,2.676
Gaming_480P-0d23,480,640,30,3.466
Gaming_480P-0dbc,480,720,30,2.973
Gaming_480P-14fc,480,854,30,3.822
Gaming_480P-1542,480,854,30,2.776
Gaming_480P-20ca,480,720,30,2.891
Gaming_480P-3a44,480,720,30,3.043
Gaming_480P-445b,480,640,30,3.714
Gaming_480P-4560,480,854,30,3.904
Gaming_480P-5a5a,480,854,30,3.478
Gaming_480P-61ee,480,640,30,3.631
Gaming_480P-626a,480,856,30,3.786
Gaming_480P-6491,480,720,30,3.013
Gaming_480P-6548,480,640,30,2.871
Gaming_480P-6a5a,480,854,30,3.468
Gaming_480P-6c92,480,864,30,2.348
Gaming_480P-6cdc,480,640,30,2.425
Gaming_480P-6d1e,480,566,30,2.674
Gaming_480P-6f4b,480,864,30,3.67
Gaming_480P-75f7,480,640,30,2.798
Gaming_480P-7a08,480,640,30,3.792
Gaming_480P-7e76,480,720,30,2.397
Gaming_720P-0fba,720,1280,30,4.089
Gaming_720P-0fdb,720,1280,30,3.263
Gaming_720P-103a,720,1280,30,4.056
Gaming_720P-1cbb,720,1280,30,4.01
Gaming_720P-221d,720,1280,30,3.252
Gaming_720P-25aa,720,1280,30,2.952
Gaming_720P-2dbe,720,1280,30,4.327
Gaming_720P-312f,720,1280,30,3.826
Gaming_720P-324d,720,3840,30,3.145
Gaming_720P-3524,720,1280,30,3.11
Gaming_720P-40b2,720,1280,30,3.855
Gaming_720P-469a,720,1280,30,4.124
Gaming_720P-493e,720,1280,30,3.567
Gaming_720P-4cda,720,1280,30,3.62
Gaming_720P-5973,720,1280,30,4.067
Gaming_720P-5ba2,720,1280,30,4.281
Gaming_720P-6403,720,1280,30,4.023
Gaming_720P-64b0,720,1280,30,4.396
Gaming_720P-6625,720,1280,30,3.813
Gaming_720P-6658,720,1280,30,3.715
Gaming_720P-6a45,720,1280,30,3.967
HDR_1080P-0d31,1080,1920,30,4.373
HDR_1080P-13eb,1080,1920,30,3.761
HDR_1080P-1be2,1080,1920,30,3.756
HDR_1080P-1e5b,1080,1920,30,1.242
HDR_1080P-206d,1080,1920,30,3.791
HDR_1080P-2d32,1080,1920,30,4.503
HDR_1080P-3181,1080,1920,30,3.777
HDR_1080P-33e3,1080,1920,30,4.45
HDR_1080P-3521,1080,1920,30,3.895
HDR_1080P-35f4,1080,1920,30,4.16
HDR_1080P-3749,1080,1920,30,4.08
HDR_1080P-3a4a,1080,1920,30,3.824
HDR_1080P-46a4,1080,1920,30,3.582
HDR_1080P-49d6,1080,1920,30,4.589
HDR_1080P-4f4a,1080,1920,30,3.51
HDR_1080P-548b,1080,1920,30,4.626
HDR_1080P-549e,1080,1920,30,4.064
HDR_1080P-55c4,1080,1920,30,4.106
HDR_1080P-601b,1080,1920,30,4.318
HDR_1080P-687e,1080,1920,30,2.629
HDR_1080P-68c8,1080,1920,30,3.804
HDR_1080P-69de,1080,1920,30,4.181
HDR_1080P-6eb7,1080,1920,30,4.046
HDR_1080P-7825,1080,1920,30,4.514
HDR_2160P-06ae,2160,3840,30,4.474
HDR_2160P-15e2,2160,3840,30,4.191
HDR_2160P-2a72,2160,3840,30,4.113
HDR_2160P-3663,2160,3840,30,4.34
HDR_2160P-40ab,2160,3840,30,4.105
HDR_2160P-4dcd,2160,3840,30,3.763
HDR_2160P-5275,2160,3840,30,4.206
HDR_2160P-5926,2160,3840,30,4.386
HDR_2160P-5e25,2160,3840,30,4.209
HDR_2160P-664d,2160,3840,30,3.753
HDR_2160P-6ed1,2160,3840,30,3.724
HDR_2160P-6eeb,2160,4096,30,4.402
HDR_2160P-6fab,2160,3840,30,3.443
HDR_2160P-70ca,2160,3840,30,3.905
HowTo_1080P-0267,1080,1920,30,4.234
HowTo_1080P-03fd,1080,1920,30,3.517
HowTo_1080P-13aa,1080,1920,30,4.336
HowTo_1080P-1f3b,1080,1920,30,4.185
HowTo_1080P-36a9,1080,1920,30,4.427
HowTo_1080P-4d7b,1080,1920,30,4.199
HowTo_1080P-52bb,1080,1920,30,4.272
HowTo_1080P-55d1,1080,1920,30,4.102
HowTo_1080P-63e4,1080,1920,30,3.948
HowTo_1080P-63ec,1080,1920,30,4.229
HowTo_1080P-64f7,1080,1920,30,4.454
HowTo_1080P-6cbf,1080,1920,30,1.915
HowTo_1080P-7399,1080,1920,30,4.194
HowTo_1080P-763c,1080,1920,30,3.957
HowTo_1080P-7cf2,1080,1920,30,3.717
HowTo_1080P-7f18,1080,1920,30,3.718
HowTo_360P-041c,360,640,30,3.214
HowTo_360P-0562,360,640,30,3.261
HowTo_360P-06be,360,640,30,3.601
HowTo_360P-09f8,360,640,30,2.951
HowTo_360P-127f,360,640,30,3.332
HowTo_360P-18e7,360,640,30,2.78
HowTo_360P-1dba,360,640,30,1.907
HowTo_360P-2074,360,640,30,3.536
HowTo_360P-2a3b,360,640,30,2.589
HowTo_360P-2d35,360,640,30,2.847
HowTo_360P-2fd5,360,640,30,2.049
HowTo_360P-3aa6,360,640,30,3.019
HowTo_360P-4276,360,640,30,3.448
HowTo_360P-4e4c,360,640,30,3.005
HowTo_360P-55e9,360,640,30,3.496
HowTo_360P-5da7,360,640,30,3.425
HowTo_360P-6093,360,640,30,3.205
HowTo_360P-6a0e,360,640,30,2.104
HowTo_360P-7dcd,360,640,30,3.035
HowTo_360P-7fb1,360,640,30,3.322
HowTo_480P-04f1,480,640,30,3.454
HowTo_480P-0cb3,480,640,30,3.592
HowTo_480P-0d00,480,640,30,3.998
HowTo_480P-0eb3,480,848,30,2.507
HowTo_480P-15c1,480,848,30,3.264
HowTo_480P-221e,480,640,30,3.283
HowTo_480P-2610,480,640,30,2.981
HowTo_480P-32c9,480,640,30,2.51
HowTo_480P-3435,480,640,30,3.93
HowTo_480P-470b,480,640,30,3.858
HowTo_480P-4948,480,640,30,2.551
HowTo_480P-4a28,480,720,30,3.659
HowTo_480P-4b6a,480,640,30,2.763
HowTo_480P-4c99,480,850,30,2.94
HowTo_480P-56a5,480,640,30,4.085
HowTo_480P-60b3,480,640,30,3.576
HowTo_480P-63a2,480,720,30,3.559
HowTo_480P-64a2,480,854,30,2.836
HowTo_480P-7c11,480,720,30,3.267
HowTo_720P-06eb,720,1280,30,4.13
HowTo_720P-0a67,720,1280,30,4.315
HowTo_720P-0b01,720,1280,30,4.111
HowTo_720P-12f7,720,1280,30,3.3
HowTo_720P-21c6,720,1280,30,2.838
HowTo_720P-269e,720,1280,30,3.643
HowTo_720P-37d0,720,1280,30,4.429
HowTo_720P-3813,720,1280,30,3.072
HowTo_720P-3a5d,720,1280,30,2.536
HowTo_720P-479b,720,1280,30,3.62
HowTo_720P-483c,720,1280,30,3.485
HowTo_720P-4d55,720,1280,30,3.947
HowTo_720P-4d9e,720,1280,30,3.688
HowTo_720P-6323,720,1280,30,3.732
HowTo_720P-6791,720,1280,30,2.263
HowTo_720P-7878,720,1280,30,3.674
HowTo_720P-7c38,720,1280,30,4.074
Lecture_1080P-011f,1080,1440,30,3.59
Lecture_1080P-0c8a,1080,1920,30,4.55
Lecture_1080P-1709,1080,1920,30,4.172
Lecture_1080P-1969,1080,1920,30,3.649
Lecture_360P-03bc,360,640,30,2.762
Lecture_360P-051a,360,480,30,2.64
Lecture_360P-114f,360,640,30,4.172
Lecture_360P-20c3,360,640,30,3.133
Lecture_360P-2276,360,640,30,3.742
Lecture_360P-27db,360,640,30,3.092
Lecture_360P-2c55,360,640,30,3.717
Lecture_360P-2d1f,360,640,30,3.62
Lecture_360P-30eb,360,640,30,3.35
Lecture_360P-311d,360,640,30,3.603
Lecture_360P-3590,360,640,30,3.703
Lecture_360P-44c2,360,640,30,3.389
Lecture_360P-4bb4,360,640,30,3.822
Lecture_360P-4f00,360,640,30,3.172
Lecture_360P-506c,360,640,30,3.168
Lecture_360P-5594,360,640,30,3.367
Lecture_360P-5aea,360,640,30,3.088
Lecture_360P-5d0a,360,640,30,3.416
Lecture_360P-6656,360,640,30,3.458
Lecture_360P-6d29,360,640,30,2.99
Lecture_360P-7550,360,640,30,3.033
Lecture_360P-7a57,360,640,30,3.493
Lecture_360P-7f7e,360,640,30,3.679
Lecture_480P-02f2,480,720,30,3.261
Lecture_480P-11df,480,720,30,3.514
Lecture_480P-181a,480,640,30,1.785
Lecture_480P-1ec3,480,720,30,3.186
Lecture_480P-2513,480,640,30,1.879
Lecture_480P-2655,480,640,30,3.261
Lecture_480P-2ed0,480,640,30,1.453
Lecture_480P-369f,480,856,30,4.193
Lecture_480P-41b7,480,640,30,3.328
Lecture_480P-4272,480,640,30,3.457
Lecture_480P-42c3,480,638,30,3.451
Lecture_480P-4bc3,480,854,30,3.93
Lecture_480P-4c86,480,720,30,3.666
Lecture_480P-5aee,480,352,30,2.606
Lecture_480P-5cd7,480,720,30,4.024
Lecture_480P-5f3a,480,352,30,2.324
Lecture_480P-6191,480,640,30,3.502
Lecture_480P-6b1e,480,640,30,3.368
Lecture_480P-71c0,480,640,30,3.249
Lecture_480P-71d6,480,640,30,3.275
Lecture_480P-7205,480,640,30,3.417
Lecture_480P-73f6,480,640,30,3.256
Lecture_480P-74cf,480,720,30,3.428
Lecture_480P-74ea,480,640,30,3.258
Lecture_480P-7d77,480,640,30,3.598
Lecture_480P-7e55,480,642,30,3.538
Lecture_480P-7eec,480,854,30,3.015
Lecture_720P-003a,720,1280,30,3.812
Lecture_720P-07e0,720,1280,30,4.082
Lecture_720P-094d,720,1280,30,3.616
Lecture_720P-0f64,720,1280,30,3.58
Lecture_720P-1033,720,1280,30,3.541
Lecture_720P-10bc,720,1280,30,3.116
Lecture_720P-11e7,720,1280,30,2.569
Lecture_720P-1e62,720,1280,30,3.958
Lecture_720P-1f22,720,1280,30,4.233
Lecture_720P-2442,720,1280,30,3.39
Lecture_720P-2b0f,720,1152,30,3.852
Lecture_720P-2f38,720,1280,30,3.552
Lecture_720P-2f8c,720,1280,30,3.839
Lecture_720P-3b7f,720,1280,30,4.106
Lecture_720P-3f9f,720,956,30,3.479
Lecture_720P-4c87,720,1280,30,3.743
Lecture_720P-50b9,720,1280,30,3.579
Lecture_720P-5120,720,1280,30,4.295
Lecture_720P-53a1,720,1280,30,3.586
Lecture_720P-5725,720,1280,30,4.262
Lecture_720P-5c7e,720,1280,30,3.846
Lecture_720P-6016,720,1280,30,3.043
Lecture_720P-6951,720,1280,30,4.163
Lecture_720P-7189,720,1280,30,3.869
Lecture_720P-7e40,720,1280,30,4.246
LiveMusic_1080P-14af,1080,1920,30,4.45
LiveMusic_1080P-157b,1080,1920,30,4.36
LiveMusic_1080P-21dd,1080,1440,30,3.819
LiveMusic_1080P-28fe,1080,1920,30,3.693
LiveMusic_1080P-2930,1080,1920,30,3.776
LiveMusic_1080P-2f7f,1080,1920,30,3.326
LiveMusic_1080P-3f95,1080,1920,30,4.05
LiveMusic_1080P-51f6,1080,1920,30,3.819
LiveMusic_1080P-541f,1080,1920,30,4.174
LiveMusic_1080P-59b3,1080,1440,30,3.443
LiveMusic_1080P-6d1a,1080,1920,30,3.78
LiveMusic_1080P-6fe2,1080,1920,30,3.281
LiveMusic_1080P-77e8,1080,1920,30,3.346
LiveMusic_1080P-7948,1080,1920,30,3.838
LiveMusic_1080P-7ead,1080,1920,30,3.559
LiveMusic_360P-121f,360,640,30,3.43
LiveMusic_360P-1d94,360,640,30,3.028
LiveMusic_360P-22c5,360,640,30,3.231
LiveMusic_360P-2508,360,640,30,3.004
LiveMusic_360P-265c,360,480,30,2.339
LiveMusic_360P-2b0f,360,640,30,3.401
LiveMusic_360P-3979,360,640,30,1.838
LiveMusic_360P-3b96,360,640,30,2.358
LiveMusic_360P-3be0,360,480,30,1.72
LiveMusic_360P-48d5,360,640,30,3.325
LiveMusic_360P-5281,360,640,30,3.596
LiveMusic_360P-54d0,360,640,30,3.559
LiveMusic_360P-5b57,360,640,30,2.773
LiveMusic_360P-6266,360,640,30,3.383
LiveMusic_360P-6640,360,640,30,3.11
LiveMusic_360P-6a65,360,480,30,2.427
LiveMusic_360P-7483,360,640,30,3.063
LiveMusic_480P-0638,480,852,30,2.909
LiveMusic_480P-1a91,480,720,30,3.173
LiveMusic_480P-2019,480,640,30,3.631
LiveMusic_480P-2a5e,480,640,30,3.089
LiveMusic_480P-38f3,480,640,30,2.973
LiveMusic_480P-3d03,480,720,30,2.729
LiveMusic_480P-459c,480,640,30,2.755
LiveMusic_480P-474a,480,640,30,1.491
LiveMusic_480P-4c3a,480,640,30,2.907
LiveMusic_480P-4f88,480,720,30,3.267
LiveMusic_480P-559d,480,640,30,3.695
LiveMusic_480P-58fb,480,640,30,3.502
LiveMusic_480P-61ef,480,640,30,3.153
LiveMusic_480P-6542,480,640,30,3.249
LiveMusic_480P-65ca,480,640,30,3.691
LiveMusic_720P-0cd5,720,1280,30,4.042
LiveMusic_720P-0d9f,720,1280,30,3.319
LiveMusic_720P-2620,720,1280,30,3.721
LiveMusic_720P-267b,720,1280,30,3.525
LiveMusic_720P-289b,720,1280,30,2.436
LiveMusic_720P-3320,720,1280,30,3.45
LiveMusic_720P-4ae2,720,1280,30,3.285
LiveMusic_720P-58db,720,1280,30,4.382
LiveMusic_720P-6343,720,1280,30,3.304
LiveMusic_720P-6452,720,1280,30,3.098
LiveMusic_720P-653e,720,1280,30,3.112
LiveMusic_720P-65f6,720,1280,30,4.019
LiveMusic_720P-66df,720,1280,30,4.592
LiveMusic_720P-71c5,720,1280,30,3.605
LyricVideo_1080P-16b6,1080,1920,30,4.381
LyricVideo_1080P-1b04,1080,1440,30,3.803
LyricVideo_1080P-1d75,1080,1920,30,4.299
LyricVideo_1080P-2946,1080,1920,30,4.177
LyricVideo_1080P-3803,1080,1920,30,3.95
LyricVideo_1080P-41ee,1080,1920,30,4.071
LyricVideo_1080P-4b40,1080,1920,30,3.636
LyricVideo_1080P-5461,1080,1920,30,4.031
LyricVideo_1080P-584f,1080,1920,30,3.188
LyricVideo_1080P-63d4,1080,1920,30,4.221
LyricVideo_1080P-63d9,1080,1440,30,3.512
LyricVideo_1080P-725e,1080,1920,30,4.399
LyricVideo_1080P-756a,1080,1920,30,4.228
LyricVideo_360P-0ac7,360,480,30,2.964
LyricVideo_360P-17ce,360,480,30,2.83
LyricVideo_360P-3afc,360,480,30,2.685
LyricVideo_360P-5868,360,640,30,3.107
LyricVideo_360P-5e87,360,640,30,2.999
LyricVideo_480P-0f72,480,848,30,2.064
LyricVideo_480P-1484,480,854,30,3.145
LyricVideo_480P-200a,480,640,30,3.063
LyricVideo_480P-2c50,480,640,30,2.985
LyricVideo_480P-3b2c,480,720,30,3.472
LyricVideo_480P-3ccf,480,640,30,2.639
LyricVideo_480P-4346,480,854,30,3.193
LyricVideo_480P-51e4,480,640,30,3.179
LyricVideo_480P-5c17,480,640,30,3.344
LyricVideo_480P-6fca,480,848,30,2.572
LyricVideo_480P-7919,480,640,30,2.508
LyricVideo_720P-068d,720,1280,30,3.825
LyricVideo_720P-0940,720,1280,30,3.045
LyricVideo_720P-0ae4,720,1280,30,3.717
LyricVideo_720P-1c89,720,1280,30,3.93
LyricVideo_720P-2d24,720,1280,30,4.199
LyricVideo_720P-36fb,720,1280,30,3.839
LyricVideo_720P-4253,720,1280,30,4.066
LyricVideo_720P-47a9,720,1280,30,2.816
LyricVideo_720P-59ed,720,1280,30,4.315
LyricVideo_720P-5d3a,720,960,30,3.939
LyricVideo_720P-6f0c,720,1280,30,2.803
LyricVideo_720P-6fc9,720,1280,30,2.671
LyricVideo_720P-739a,720,1280,30,2.877
LyricVideo_720P-74a0,720,1280,30,4.415
LyricVideo_720P-7f44,720,1280,30,4.196
MusicVideo_1080P-04b6,1080,1920,30,4.288
MusicVideo_1080P-0706,1080,1920,30,4.084
MusicVideo_1080P-0860,1080,1920,30,3.963
MusicVideo_1080P-106d,1080,1440,30,3.259
MusicVideo_1080P-16e6,1080,1920,30,4.349
MusicVideo_1080P-18f5,1080,1920,30,3.829
MusicVideo_1080P-1a53,1080,1920,30,3.577
MusicVideo_1080P-24f5,1080,1920,30,4.283
MusicVideo_1080P-2b2b,1080,1920,30,4.436
MusicVideo_1080P-2d1c,1080,1440,30,3.616
MusicVideo_1080P-34ff,1080,1440,30,3.658
MusicVideo_1080P-3a50,1080,1920,30,3.69
MusicVideo_1080P-453f,1080,1920,30,4.372
MusicVideo_1080P-4671,1080,1920,30,3.083
MusicVideo_1080P-5072,1080,1920,30,4.19
MusicVideo_1080P-55af,1080,1920,30,3.748
MusicVideo_1080P-65c6,1080,1920,30,4.066
MusicVideo_1080P-6c1d,1080,1920,30,4.323
MusicVideo_1080P-6fb1,1080,1440,30,3.492
MusicVideo_1080P-7265,1080,1920,30,3.566
MusicVideo_1080P-7706,1080,1920,30,2.925
MusicVideo_1080P-7f2e,1080,1920,30,3.75
MusicVideo_360P-17e4,360,640,30,3.233
MusicVideo_360P-24b0,360,640,30,3.512
MusicVideo_360P-2fcb,360,640,30,3.619
MusicVideo_360P-462f,360,640,30,3.51
MusicVideo_360P-4de7,360,480,30,2.968
MusicVideo_360P-5358,360,640,30,3.069
MusicVideo_360P-5578,360,480,30,2.873
MusicVideo_360P-5699,360,640,30,3.776
MusicVideo_360P-5f07,360,640,30,2.921
MusicVideo_360P-5f8d,360,640,30,2.437
MusicVideo_360P-648c,360,640,30,3.272
MusicVideo_360P-7b94,360,640,30,2.44
MusicVideo_480P-0448,480,640,30,3.453
MusicVideo_480P-12fb,480,640,30,3.059
MusicVideo_480P-184c,480,640,30,3.726
MusicVideo_480P-1eee,480,640,30,3.061
MusicVideo_480P-2de0,480,656,30,3.47
MusicVideo_480P-3aa2,480,854,30,2.767
MusicVideo_480P-3c8b,480,640,30,2.908
MusicVideo_480P-41ce,480,720,30,3.766
MusicVideo_480P-483b,480,720,30,1.539
MusicVideo_480P-4cc8,480,854,30,3.346
